"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story ddt","Search wiki by keyword test DDT","FAILURE","2022-05-09T08:24:23.798868+03:00[Europe/Bucharest]","0.0","25.58"
"Search on website","Search wiki by keyword test DDT","FAILURE","2022-05-09T08:26:21.621867+03:00[Europe/Bucharest]","0.0","26.23"
"Search on website","Search ubb by keyword test DDT","FAILURE","2022-05-09T08:44:09.221062+03:00[Europe/Bucharest]","0.0","53.43"
"Search by keyword story","Searching by keyword banana should display the corresponding article","FAILURE","2022-05-09T08:44:22.297403+03:00[Europe/Bucharest]","0.0","29.53"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2022-05-09T08:44:52.320125+03:00[Europe/Bucharest]","0.0","0.14"
"Search by keyword story","Searching by keyword apple should display the corresponding article","FAILURE","2022-05-09T08:44:52.560293+03:00[Europe/Bucharest]","0.0","10.2"
